ID,Sex,Regions,Periods,PopulationOn1January_1,PopulationOn31December_20
14939,T001038,GM0148,2019JJ00,28499.0,28587.0
15419,T001038,GM0150,2019JJ00,99957.0,100719.0
19679,T001038,GM0153,2019JJ00,158986.0,159640.0
24599,T001038,GM0158,2019JJ00,24277.0,24311.0
25379,T001038,GM0160,2019JJ00,60574.0,60948.0
27959,T001038,GM0163,2019JJ00,35808.0,35916.0
28379,T001038,GM0164,2019JJ00,80683.0,81140.0
32459,T001038,GM0166,2019JJ00,53779.0,54319.0
37859,T001038,GM0168,2019JJ00,22622.0,22683.0
45419,T001038,GM0171,2019JJ00,46849.0,47291.0
46979,T001038,GM0173,2019JJ00,31840.0,31836.0
47159,T001038,GM0175,2019JJ00,17813.0,18009.0
51539,T001038,GM0177,2019JJ00,37511.0,37712.0
58979,T001038,GM0180,2019JJ00,17003.0,17145.0
61259,T001038,GM0183,2019JJ00,21276.0,21275.0
62279,T001038,GM0184,2019JJ00,20776.0,21031.0
68699,T001038,GM0189,2019JJ00,24351.0,24446.0
74039,T001038,GM0193,2019JJ00,127497.0,128840.0
52857,T001038,GM0196,2017JJ00,10852.0,10810.0
3719,T001038,GM0197,2019JJ00,27011.0,27121.0
6119,T001038,GM0200,2019JJ00,162445.0,163818.0
6479,T001038,GM0202,2019JJ00,159265.0,161348.0
7499,T001038,GM0203,2019JJ00,57971.0,59082.0
10319,T001038,GM0209,2019JJ00,25882.0,25890.0
13439,T001038,GM0213,2019JJ00,20698.0,20726.0
13799,T001038,GM0214,2019JJ00,26568.0,26749.0
14819,T001038,GM0216,2019JJ00,28555.0,28955.0
16199,T001038,GM0221,2019JJ00,11148.0,11077.0
16259,T001038,GM0222,2019JJ00,57555.0,58001.0
17339,T001038,GM0225,2019JJ00,18797.0,18926.0
17519,T001038,GM0226,2019JJ00,25332.0,25126.0
18119,T001038,GM0228,2019JJ00,115710.0,117165.0
19019,T001038,GM0230,2019JJ00,23086.0,23161.0
19739,T001038,GM0232,2019JJ00,33145.0,33178.0
19799,T001038,GM0233,2019JJ00,26858.0,27008.0
21178,T001038,GM0236,2018JJ00,26818.0,27036.0
23995,T001038,GM0241,2015JJ00,34258.0,34574.0
25439,T001038,GM0243,2019JJ00,47581.0,48414.0
25919,T001038,GM0244,2019JJ00,12173.0,12209.0
